
2024/11/27 (16:07:54) | ===> btop++ v.1.4.0
2024/11/27 (16:07:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/27 (16:07:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/27 (19:33:14) | ===> btop++ v.1.4.0
2024/11/27 (19:33:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/27 (19:33:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/27 (19:33:30) | ===> btop++ v.1.4.0
2024/11/27 (19:33:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/27 (19:33:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/01 (12:14:27) | ===> btop++ v.1.4.0
2024/12/01 (12:14:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/01 (12:14:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/01 (12:14:55) | ===> btop++ v.1.4.0
2024/12/01 (12:14:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/01 (12:14:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/01 (17:16:33) | ===> btop++ v.1.4.0
2024/12/01 (17:16:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/01 (17:16:33) | WARNING: Intel GPU: Failed to initialize PMU
